Iteration,Vx Vel,Vy Vel,Vz Vel,Pressure,Temp,TKE,TED,Scalar
76,-0.32685,224.511,0.718801,-227.974,45.0457,43545.4,7.72071e+07,0
77,-0.340611,223.977,0.4794,-228.048,44.9975,44253.4,7.89447e+07,0
78,-0.353964,223.451,0.235602,-227.976,44.9517,44964.3,8.06636e+07,0
79,-0.36697,222.935,-0.0108345,-227.779,44.9073,45676.5,8.23632e+07,0
80,-0.379601,222.43,-0.259522,-227.446,44.8648,46389,8.40378e+07,0
81,-0.391793,221.938,-0.510456,-227.014,44.8232,47102,8.56895e+07,0
82,-0.403439,221.459,-0.763251,-226.491,44.7846,47812.4,8.7316e+07,0
83,-0.414713,220.996,-1.01752,-225.897,44.748,48519.6,8.89124e+07,0
84,-0.425462,220.548,-1.27348,-225.261,44.7151,49226.2,9.04836e+07,0
85,-0.435645,220.117,-1.53045,-224.576,44.6826,49929.5,9.202e+07,0
86,-0.445448,219.704,-1.78772,-223.85,44.6457,50629.4,9.35258e+07,0
87,-0.454883,219.309,-2.04527,-223.101,44.6122,51324.1,9.49999e+07,0
88,-0.463857,218.932,-2.30285,-222.338,44.583,52014.6,9.64416e+07,0
89,-0.472241,218.575,-2.55978,-221.562,44.5547,52698.7,9.78476e+07,0
90,-0.480361,218.237,-2.81621,-220.782,44.5266,53377.6,9.92164e+07,0
91,-0.487631,217.919,-3.07098,-220,44.5018,54049.6,1.0055e+08,0
92,-0.494435,217.622,-3.32451,-219.222,44.4764,54715,1.01845e+08,0
93,-0.500953,217.345,-3.57657,-218.46,44.4515,55372.3,1.03103e+08,0
94,-0.507081,217.088,-3.82651,-217.715,44.4244,56023.7,1.04333e+08,0
95,-0.512781,216.852,-4.07433,-216.986,44.3998,56665.9,1.05518e+08,0
96,-0.518136,216.637,-4.31983,-216.284,44.3729,57299.7,1.06669e+08,0
97,-0.523212,216.441,-4.56285,-215.61,44.3481,57923.8,1.07781e+08,0
98,-0.52791,216.266,-4.80308,-214.964,44.3225,58540.9,1.0886e+08,0
99,-0.532358,216.111,-5.04053,-214.355,44.2966,59149.6,1.099e+08,0
100,-0.536559,215.976,-5.27478,-213.778,44.2702,59750.5,1.10913e+08,0
101,-0.540428,215.861,-5.50572,-213.232,44.2439,60341.8,1.11885e+08,0
102,-0.543974,215.742,-5.73258,-214.794,44.2138,60925.9,1.12862e+08,0
103,-0.547178,215.647,-5.95638,-215.789,44.1856,61505.4,1.13814e+08,0
104,-0.550334,215.572,-6.17672,-216.342,44.1539,62073.1,1.14739e+08,0
105,-0.553264,215.518,-6.39363,-216.573,44.1235,62634.7,1.15628e+08,0
106,-0.55592,215.484,-6.60695,-216.567,44.0936,63183.6,1.16484e+08,0
107,-0.558469,215.47,-6.81628,-216.395,44.0645,63724.1,1.17303e+08,0
108,-0.560956,215.474,-7.02189,-216.107,44.0362,64258,1.18096e+08,0
109,-0.563318,215.497,-7.22339,-215.748,44.0097,64782.2,1.18851e+08,0
110,-0.565622,215.538,-7.42064,-215.347,43.9813,65297.3,1.19576e+08,0
111,-0.567855,215.596,-7.61367,-214.927,43.9508,65805.7,1.20279e+08,0
112,-0.569983,215.672,-7.80229,-214.508,43.9214,66301.4,1.20947e+08,0
113,-0.572045,215.764,-7.98656,-214.102,43.8885,66790.7,1.21589e+08,0
114,-0.574004,215.872,-8.16622,-213.716,43.8554,67272.4,1.22207e+08,0
115,-0.575984,215.996,-8.34136,-213.357,43.8231,67742.6,1.22797e+08,0
116,-0.577861,216.135,-8.51191,-213.032,43.791,68206.9,1.23368e+08,0
117,-0.579723,216.289,-8.67795,-212.746,43.7581,68662.7,1.23912e+08,0
118,-0.581576,216.457,-8.83908,-212.492,43.7231,69111.6,1.2444e+08,0
119,-0.583593,216.639,-8.99611,-212.277,43.6911,69552.2,1.24947e+08,0
120,-0.585436,216.835,-9.14825,-212.092,43.6595,69981.7,1.25439e+08,0
121,-0.587419,217.044,-9.29587,-211.946,43.6268,70405.3,1.25908e+08,0
122,-0.590033,217.266,-9.43928,-211.806,43.5921,70823.2,1.26358e+08,0
123,-0.59234,217.501,-9.5781,-211.713,43.5573,71233.1,1.26792e+08,0
124,-0.594539,217.746,-9.71224,-211.661,43.5239,71635.9,1.27214e+08,0
