Iteration,Vx Vel,Vy Vel,Vz Vel,Pressure,Temp,TKE,TED,Scalar
74,-0.987741,34.7346,2.0874,16.6035,56.8212,4725.06,2.39505e+06,0
75,-0.988269,34.956,2.0488,16.2089,56.8803,4672.97,2.39473e+06,0
76,-0.988162,35.1729,2.01041,15.8062,56.9345,4621.89,2.39411e+06,0
77,-0.987432,35.3854,1.97229,15.3971,56.9926,4571.87,2.39326e+06,0
78,-0.986108,35.5936,1.93453,14.9834,57.0533,4522.85,2.39221e+06,0
79,-0.984197,35.7977,1.89723,14.5667,57.1145,4474.82,2.39102e+06,0
80,-0.981727,35.9976,1.8604,14.1481,57.1756,4427.93,2.38972e+06,0
81,-0.978734,36.1933,1.82412,13.729,57.2352,4382.12,2.38833e+06,0
82,-0.97524,36.385,1.78842,13.3105,57.2958,4337.2,2.38687e+06,0
83,-0.971267,36.5727,1.75337,12.8938,57.3576,4293.18,2.38536e+06,0
84,-0.966841,36.7564,1.71897,12.4798,57.4163,4250.58,2.38381e+06,0
85,-0.961979,36.9362,1.68525,12.0693,57.4791,4208.81,2.38221e+06,0
86,-0.956719,37.1121,1.6522,11.6629,57.5422,4167.94,2.3806e+06,0
87,-0.95108,37.2842,1.61985,11.2615,57.6059,4128.13,2.37897e+06,0
88,-0.945104,37.4526,1.58824,10.8655,57.6689,4089.08,2.37733e+06,0
89,-0.938808,37.6172,1.55735,10.4754,57.7324,4051.14,2.37569e+06,0
90,-0.932228,37.7781,1.52718,10.091,57.7959,4014.05,2.37407e+06,0
91,-0.925394,37.9355,1.49775,9.71299,57.8593,3977.82,2.37251e+06,0
92,-0.918331,38.0894,1.46907,9.34114,57.9231,3942.53,2.37104e+06,0
93,-0.91106,38.2398,1.44113,8.97595,57.9231,3908.16,2.36964e+06,0
94,-0.903608,38.3867,1.41393,8.61782,58.0507,3874.62,2.36831e+06,0
95,-0.895997,38.5302,1.38749,8.2669,58.1149,3841.98,2.36705e+06,0
96,-0.88824,38.6703,1.36179,7.9234,58.1793,3810.04,2.36586e+06,0
97,-0.880367,38.8071,1.33682,7.58735,58.2439,3779.05,2.36474e+06,0
98,-0.872382,38.9405,1.31258,7.25883,58.3082,3748.67,2.36366e+06,0
99,-0.864316,39.0706,1.28907,6.93789,58.3728,3719.04,2.36263e+06,0
100,-0.856184,39.1974,1.26629,6.62452,58.4375,3690.24,2.36164e+06,0
101,-0.848001,39.3209,1.24423,6.31869,58.5028,3662.11,2.36068e+06,0
102,-0.839779,39.4413,1.22289,6.02038,58.5682,3634.77,2.35976e+06,0
103,-0.831528,39.5585,1.20227,5.72954,58.6336,3608.13,2.35886e+06,0
104,-0.823259,39.6725,1.18236,5.44593,58.699,3582.05,2.35798e+06,0
105,-0.814983,39.7835,1.16314,5.16954,58.765,3556.57,2.35713e+06,0
106,-0.80671,39.8913,1.14462,4.90008,58.8315,3531.83,2.35629e+06,0
107,-0.798446,39.9961,1.12679,4.63772,58.8977,3507.69,2.35547e+06,0
108,-0.790198,40.0978,1.10962,4.38173,58.9644,3484.18,2.35467e+06,0
109,-0.781976,40.1966,1.09314,4.13207,59.0313,3461.13,2.35387e+06,0
110,-0.773778,40.2925,1.07731,3.88862,59.0983,3438.72,2.35308e+06,0
111,-0.765616,40.3854,1.06213,3.65107,59.1653,3416.82,2.35229e+06,0
112,-0.757484,40.4754,1.04758,3.41915,59.2325,3395.44,2.3515e+06,0
113,-0.749387,40.5626,1.03365,3.19256,59.2999,3374.62,2.35071e+06,0
114,-0.741328,40.647,1.02034,2.97107,59.3676,3354.4,2.34992e+06,0
115,-0.733306,40.7287,1.00763,2.75471,59.4355,3334.62,2.34914e+06,0
116,-0.725331,40.8077,0.995504,2.54276,59.4355,3315.34,2.34834e+06,0
117,-0.717393,40.884,0.983928,2.33513,59.5715,3296.51,2.34755e+06,0
118,-0.709502,40.9577,0.972906,2.13155,59.6397,3278.09,2.34675e+06,0
119,-0.701649,41.0287,0.962418,1.93187,59.7077,3260.12,2.34594e+06,0
120,-0.693835,41.0973,0.952468,1.73577,59.7763,3242.53,2.34512e+06,0
